2026-03-22 05:31:38,315 | member_id=1 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:31:38,699 | member_id=1 | action=VIEW_PORTFOLIO | table=Member | record_id=1 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:31:39,994 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:31:46,587 | member_id=1 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:00,119 | member_id=1 | action=LOGOUT | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:14,379 | member_id=4 | action=LOGIN_SUCCESS | table=UserLogin | record_id=4 | ip=127.0.0.1 | session_valid=True | details=username=ananya
2026-03-22 05:32:14,384 | member_id=4 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:32,222 | member_id=4 | action=API_CREATE_DOCUMENT | table=Document | record_id=23 | ip=127.0.0.1 | session_valid=True | details=title=asdfgasd
2026-03-22 05:32:33,806 | member_id=4 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:37,388 | member_id=4 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:41,352 | member_id=4 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:42,886 | member_id=4 | action=VIEW_PORTFOLIO | table=Member | record_id=4 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:43,922 | member_id=4 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:49,334 | member_id=4 | action=VIEW_PORTFOLIO | table=Member | record_id=4 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:53,873 | member_id=4 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:32:55,070 | member_id=4 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:34:31,600 | member_id=4 | action=VIEW_PORTFOLIO | table=Member | record_id=4 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:34:32,534 | member_id=4 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:34:33,165 | member_id=4 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:34:34,009 | member_id=4 | action=VIEW_MEMBERS_PAGE | table=Member | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:37:31,935 | member_id=4 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:37:32,536 | member_id=4 | action=VIEW_PORTFOLIO | table=Member | record_id=4 | ip=127.0.0.1 | session_valid=True | details=None
